編號,類型,傳送者,內容,是否詐騙(1詐騙2否),解析
1,金融機構,中信銀行 客服,您的帳戶出現異常交易，為保障資金安全請立即點擊驗證：https://verify-bank.tw/main，限時30分鐘內處理。,1,詐騙 — 含可疑連結、製造緊迫感
2,金融機構,中信銀行 客服,中信銀行：您的信用卡疑被盜刷，已暫停交易。請回撥本行客服確認：(02)2325-3616。若非本人操作請立即回覆「1」。,2,合法示例 — 指向官方客服回撥、不含短連結或要求輸入驗證碼；但做題時可用官方客服號碼核實為真
3,金融機構,中信銀行 客服,偵測到異常登入，請於本行驗證頁輸入簡訊驗證碼以恢復權限：https://secure-bank-verify.com/，驗證碼：先送出即綁定。,1,詐騙 — 要求輸入驗證碼、誘導到外部連結
4,政府機構,財政部稅務局,您有未繳稅款，已進入強制執行程序，請立即至「財政在線」填寫資料避免罰款：etax-check.tw/main。,1,詐騙 — 製造法律壓力且包含可疑連結
5,政府機構,財政部（稅務通知）,財政部提醒：若對本期稅務有疑問，請撥打本局客服0800-000-321 或至本局官網查詢。,2,合法示例 — 提供官方號碼/官網查證、明確說明「不會要求連結輸入密碼」
6,政府機構,行政院,恭喜您！政府普發補助款核准，請先點連結完成身分資料驗證以領取：gov-aid.claim/GO。,1,詐騙 — 利用補助或罰款誘因、附可疑領取連結
7,電商／物流平台,超商宅配,您的包裹因地址資料不完整無法派送，請立即點此更新收件資訊：parcel-fix.tw/AA12，否則將退回寄件人。,1,詐騙 — 含誘導更新連結，常見手法
8,電商／物流平台,超商宅配,超商宅配提醒：您有一筆宅配待取，請以本訊所附的取件代碼至官方 APP 或至門市出示取件代碼查詢；若有疑問請撥官網客服確認。,2,合法示例 — 無外部短連結，建議透過官方APP/門市或客服查證
9,電商／物流平台,PC購物,您的訂單退款失敗，請點連結重新綁定卡片以完成退款：refund-now.pchome.com.tw/main（限24小時）。,1,詐騙 — 要求綁定卡片或提供卡號、外部網址
10,假冒貸款／借款服務,板信商銀,免保人、免保證！您的信用已符合快速貸款資格，點此填表立即放款：www.fastloan-approve.com/NT（免押/秒過）。,1,詐騙 — 過度保證、誘導連結
11,假冒貸款／借款服務,桃園信合社,您申請之貸款案目前資料不足，為保密請撥本行客服核對案件編號12345，或於官方網頁登入查詢案件進度。,2,合法示例 — 要求撥官方客服或至官網登入查案，不會直接在簡訊要求回傳敏感資訊或外部連結
12,假冒貸款／借款服務,青年創業貨款,"恭喜！恭喜！系統已為您核准$200,000，請先支付保證金連結以解凍帳戶：pay-hold.net/azz（24小時內）。",1,詐騙 — 要求先付保證金、誘導匯款
13,假冒中獎／獎勵／優惠,寶島眼鏡,大頭條！超震撼！寶島眼鏡和平東路分公司週年慶，免持卡、無條件，全面破盤價，只有寶島眼鏡才有喔(02)2704-5868,2,法示例 — 商家促銷訊息，提供門市電話／無可疑短連結或要求匯款
14,假冒中獎／獎勵／優惠,寶島眼鏡,"恭喜獲得$1,000購物金，點此領取並輸入個資：claim-prize[.]shop/ID（限本日）。",1,詐騙 — 假中獎誘導點連結並要求個資
15,假冒中獎／獎勵／優惠,寶島眼鏡,本店特別回饋，完成線上登記可獲精美贈品及折扣券，請先輸入信用卡以兌換：gift-verify[.]com/GO。,1,詐騙 — 要求輸入信用卡資料以「兌換贈品」
16,金融機構,台灣銀行 客服,【台灣銀行】偵測異常登入，請立即登入 http://twb-security.com 驗證帳戶，否則將暫停使用。,1,詐騙 — 假冒銀行網站，含可疑短連結  
17,金融機構,國泰世華 銀行,您的信用卡交易遭風控系統暫停，請回覆「解除」以恢復使用。,1,詐騙 — 要求回覆指令屬典型社交工程  
18,金融機構,玉山銀行,親愛的顧客您好：您的玉山銀行信用卡約定條款及會員權益 EMAIL 未發送成功，因此改發送簡訊給您，請點 https://esun.co/3Je1v 查看條款內容，歡迎至網路銀行或洽玉山客服確認或更新您的電子信箱，謝謝。謹慎理財信用無價循環利率 5.88~15%,2,真實簡訊
19,政府機構,財政部 稅務局,您有一筆退稅未完成登錄，請於24小時內點擊 gov-taxrefund.tw 補件。,1,詐騙 — 假冒退稅連結  
20,政府機構,內政部,您名下身分異常，請登入 http://moica-idverify.com 補登資料，以免影響權益。,1,詐騙 — 冒用政府機構名義  
21,政府機構,移民署,移民署提醒：若收到可疑簡訊或連結，請撥165或至官網查證。,2,合法示例 — 官方建議查證  
22,電商平台,momo購物,您的訂單付款失敗，請點擊 www.momo-refund.com 補登付款資料。,1,詐騙 — 仿冒退款頁面  
23,電商平台,蝦皮購物,蝦皮：包裹地址有誤，請回覆「更正」或登入連結更新配送資料。,1,詐騙 — 利用包裹問題誘導點擊  
24,電商平台,PChome購物,您的PChome訂單已出貨，可於官方APP追蹤物流進度。,2,合法示例 — 官方流程說明  
25,貸款服務,青年創業貨款,您的貸款資格已核准，請於12小時內完成手續：fastloan-tw.com/verify,1,詐騙 — 假核貸連結  
26,貸款服務,勞工紓困貨款,恭喜獲得10萬核准額度，請先轉帳保證金啟動撥款。,1,詐騙 — 要求預付款典型手法  
27,貸款服務,玉山銀行,"【恭喜獲得限時獨家好禮~】玉山銀行二順位房貸免轉貸，3月底前享「貸款費用現省2,000元」優惠，限本人憑簡訊申請，轉寄無效！總費用年百分率2.68%起。了解更多： http://www.esunbank.com.tw/event/loan/house/s/H15.html",2,真實簡訊
28,獎勵優惠,全聯福利中心,恭喜獲得消費滿額回饋金，請點此登錄領取：pxpay-event.com.tw,1,詐騙 — 假冒活動網站  
29,獎勵優惠,中華電信,限時贈送網路流量，立即登入 hinet-promo.co 領取！,1,詐騙 — 假冒優惠連結  
30,獎勵優惠,屈臣氏,屈臣氏會員日，本週消費滿額可於門市兌換贈品。,2,合法示例 — 合法店內活動  
31,金融機構,中國信託,您信用卡積分即將到期，請登入 ctbc-reward.com.tw 延長積分有效期。,1,詐騙 — 假積分網站  
32,金融機構,元大銀行,元大銀行提醒：如非本人操作請立即撥客服(02)2181-1111。,2,合法示例 — 含官方電話  
33,金融機構,第一銀行,您的網銀登入異常，請回覆「Y」以重新開通服務。,1,詐騙 — 要求回覆字元屬誘導行為  
34,政府機構,健保署,健保署：健保卡功能異常，請登入 nhib-update.tw 修正資料。,1,詐騙 — 冒用健保署名義  
35,政府機構,環保署,您環保補助資料缺件，請即刻登入 gov-green.org.tw 補登。,1,詐騙 — 假補助網站  
36,政府機構,北市停管處,060-北市停管處於1140906開立NDQ-9445停車單，查繳請點https://parkingfee.pma.gov.taipei,2,真實簡訊
37,電商平台,LINE購物,您獲得LINE購物回饋金，請點 link-twlinebonus.com 領取。,1,詐騙 — 假冒LINE活動  
38,電商平台,蝦皮商城,蝦皮：退款作業需重新輸入卡號，請立即前往 shopee-return.tw,1,詐騙 — 要求輸入卡號資料  
39,電商平台,全家店到店,包裹已抵達門市，請開啟官方APP查看取件條碼。,2,合法示例 — 官方取件流程  
40,貸款服務,板信商銀,系統核貸通過，請繳手續費$300以啟動撥款程序。,1,詐騙 — 要求先付費啟動  
41,貸款服務,台灣銀行,您的信用評分不足，請提供銀行存摺影本以完成核對。,1,詐騙 — 要求提供個資  
42,貸款服務,合作金庫,您的貸款文件已審核，請攜證件親洽分行簽約。,2,合法示例 — 正規程序  
43,獎勵優惠,王品牛排,王品會員抽獎中獎通知，請填寫信用卡號確認身份：vipaward-tw.com,1,詐騙 — 要求卡號資料  
44,獎勵優惠,寶雅,您獲得限量優惠券，請於24小時內點擊 po-ya-promo.net 領取。,1,詐騙 — 假冒品牌活動  
45,獎勵優惠,誠品書店,誠品會員生日禮即日起至門市兌換，出示簡訊即可。,2,合法示例 — 正規會員活動  
46,金融機構,臺灣土地銀行,您的貸款月付異常，請登入 landbank-tw-check.com 核對資料。,1,詐騙 — 假冒銀行連結  
47,金融機構,彰化銀行,彰銀通知：帳戶異常登入，若非本人請立即回覆「確認」。,1,詐騙 — 誘導回覆簡訊  
48,金融機構,中國信託,中國信託祝您新春愉快。點燃生命之火已幫助58萬名弱勢兒童，邀您持續給予翻轉人生的力量 https://ctbc.tw/eV5HUU,2,真實簡訊
49,政府機構,勞動部,您可申請就業補助金，請至 labor-paygov.tw 確認資料。,1,詐騙 — 冒用勞動部名義  
50,政府機構,地政事務所,地政登記異常，請立即回覆身分證字號以修正。,1,詐騙 — 要求個資  
51,政府機構,交通部,提醒：若收到車輛罰單簡訊，請僅透過官方網站查詢繳費。,2,合法示例 — 正規查詢途徑  
52,電商平台,7-11取貨,包裹暫存即將逾期，請登入 7pickup-tw.com 重新預約。,1,詐騙 — 假取貨連結  
53,電商平台,Amazon台灣,跨境包裹稅款未繳，請立即繳納以免退件：amazon-taxpay.com.tw,1,詐騙 — 冒用品牌與假稅務連結  
54,電商平台,蝦皮購物,蝦皮提醒：退款進度可於APP內>我的訂單查詢。,2,合法示例 — 正規APP提醒  
55,貸款服務,速現金,貸款通過！請先繳交開戶費用$500以完成手續。,1,詐騙 — 要求預付費用  
56,貸款服務,民間貸款網,立即貸出免審核，輸入帳號即可撥款：www.easyloan.com.tw,1,詐騙 — 可疑外部網站  
57,貸款服務,中信銀行,【中信銀房貸限時優惠】房貸轉增貸享優惠年利率，額度最高85成，詳 https://ctbc.tw/BTSMS8 若有疑慮洽本行客服,2,真實簡訊
58,獎勵優惠,家樂福,恭喜獲得$1000購物金，請登入 carrefour-prize.com.tw 領取！,1,詐騙 — 假活動網站  
59,獎勵優惠,統一超商,限時抽獎通知：請回覆「確認」以完成登錄。,1,詐騙 — 要求回覆互動簡訊  
60,獎勵優惠,寶島眼鏡,寶島眼鏡週年慶，持簡訊至門市即可享折扣。,2,合法示例 — 合法行銷活動  
